gene_symbol	historical_mechanisms	exact_condition_hpo_route	exact_route_with_inheritance	exact_route_with_penetrance	exact_route_with_both	exact_condition_count	exact_sources	exact_mechanisms	included_hpo_condition_with_inheritance_and_penetrance	unlinked_same_condition_hpo_candidate	unlinked_cross_condition_gene_wide_candidate	hpo_conditions_with_both
RAC1	GOF	0	0	0	0	0			0	0	0	
RAC2	GOF	0	0	0	0	0			0	0	0	
RAC3	GOF	0	0	0	0	0			0	0	0	
RAD21	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RAD50	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RAD51	LOF	1	1	1	1	1	G2P_DDG2P	LOF	1	0	0	OMIM:157600;OMIM:614508
RAD51C	LOF	0	0	0	0	0			0	0	0	
RAD51D	LOF	0	0	0	0	0			0	0	0	
RAF1	GOF	1	1	0	0	5	G2P_DDG2P;GoFCards_exact+ClinVar_VCV;Orphadata	GOF	0	0	0	
RAG1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RAG2	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RAI1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RALA	GOF	0	0	0	0	0			0	0	0	
RALGAPA1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RANBP2		0	0	0	0	0			1	0	0	OMIM:608033
RAP1B	GOF	0	0	0	0	0			0	0	0	
RAPSN	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
RARB	GOF;LOF	1	1	0	0	1	G2P_DDG2P;GoFCards_exact+ClinVar_VCV	GOF;LOF	0	0	0	
RARS1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RARS2	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RASA1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RASA2	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
RASGRP1	LOF	0	0	0	0	0			0	0	0	
