gene_symbol	source	source_record_id	source_condition_id	mondo_id	disease_scope	priva_scope	scope_review_status	disease_label	inheritance	penetrance_raw	penetrance_hpo_ids	normalized_penetrance	patho_mode_raw	normalized_mechanisms	mechanism_confidence	disease_confidence	pmids	evidence_url	panel_or_submitter	phenotype_terms	notes
SLC35D1	Orphadata	ORPHA:3144|SLC35D1|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:3144	MONDO:0010013	mendelian_non_neoplastic	include	auto_supported	Schneckenbecken dysplasia					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	19508970	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
SETBP1	Orphadata	ORPHA:798|SETBP1|disease_causing_germline_mutation_s_gain_of_function_in	ORPHA:798	MONDO:0010010	mendelian_non_neoplastic	include	auto_supported	Schinzel-Giedion syndrome					Disease-causing germline mutation(s) (gain of function) in	GOF	high	Assessed	20436468;21371013	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
EIF4A3	Orphadata	ORPHA:3102|EIF4A3|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:3102	MONDO:0009998	mendelian_non_neoplastic	include	auto_supported	Richieri Costa-Pereira syndrome					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	24360804	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
SMS	Orphadata	ORPHA:3063|SMS|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:3063	MONDO:0010664	mendelian_non_neoplastic	include	auto_supported	X-linked intellectual disability, Snyder type					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	23805436	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
KIT	Orphadata	ORPHA:2884|KIT|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:2884	MONDO:0008244	mendelian_non_neoplastic	include	auto_supported	Piebaldism					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	22670867;25199540	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
WNT7A	Orphadata	ORPHA:2879|WNT7A|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:2879	MONDO:0010164	mendelian_non_neoplastic	include	auto_supported	Phocomelia, Schinzel type					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	23922166;23266637	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
WNT7A	Orphadata	ORPHA:2854|WNT7A|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:2854					Fuhrmann syndrome					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	23922166;23266637	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
ZNHIT3	Orphadata	ORPHA:2836|ZNHIT3|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:2836	MONDO:0009841	mendelian_non_neoplastic	include	auto_supported	PEHO syndrome					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	28335020	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
BCKDHB	Orphadata	ORPHA:268162|BCKDHB|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:268162					Intermediate maple syrup urine disease					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	20301495	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
DBT	Orphadata	ORPHA:268162|DBT|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:268162					Intermediate maple syrup urine disease					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	20301495	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
BCKDHB	Orphadata	ORPHA:268145|BCKDHB|disease_causing_germline_mutation_s_loss_of_function_in	ORPHA:268145					Classic maple syrup urine disease					Disease-causing germline mutation(s) (loss of function) in	LOF	high	Assessed	20301495	https://www.orphadata.com/data/xml/en_product6.xml			association_status:Assessed
