gene_symbol	gofcards_exact_rows	exact_clinvar_vcv_rows	g2p_any_source_record	g2p_canonical_mechanism	g2p_priva_included_mechanism	orphadata_any_source_record	orphadata_canonical_mechanism	orphadata_priva_included_mechanism	only_gofcards_vs_explicit_sources	only_gofcards_vs_priva_included	only_gofcards_vs_any_source_record
NPSR1-AS1	1	0	0	0	0	0	0	0	1	1	1
NPY	2	0	0	0	0	0	0	0	1	1	1
NR2E3	2	1	1	1	1	0	0	0	0	0	0
NR3C2	2	0	0	0	0	1	1	0	0	1	0
NRAS	8	3	1	1	1	0	0	0	0	0	0
NRL	2	0	1	1	1	0	0	0	0	0	0
NTRK1	2	0	1	1	1	1	1	1	0	0	0
OAS1	8	0	0	0	0	0	0	0	1	1	1
ODC1	2	0	1	1	1	1	1	1	0	0	0
ORAI1	3	0	0	0	0	1	1	1	0	0	0
P2RX7	4	0	0	0	0	0	0	0	1	1	1
PACS1	4	1	1	1	1	1	1	1	0	0	0
PAH	2	1	1	1	1	0	0	0	0	0	0
PAK1	8	1	1	1	1	0	0	0	0	0	0
PARP9	2	0	0	0	0	0	0	0	1	1	1
PAX6	6	0	1	1	1	1	1	1	0	0	0
PCSK1	2	0	0	0	0	0	0	0	1	1	1
PCSK9	36	12	0	0	0	0	0	0	0	0	0
PDE3A	2	0	0	0	0	1	1	1	0	0	0
PDGFRA	10	0	1	1	1	0	0	0	0	0	0
PDGFRB	32	2	1	1	1	1	1	0	0	0	0
PDLIM7	2	0	0	0	0	0	0	0	1	1	1
PFN1	8	1	0	0	0	0	0	0	0	0	0
PIEZO1	6	1	1	1	1	1	1	1	0	0	0
PIEZO2	4	1	1	1	1	1	1	1	0	0	0
PIK3CA	41	9	1	1	0	0	0	0	0	0	0
PIK3CB	4	0	0	0	0	0	0	0	1	1	1
PIK3CD	22	9	0	0	0	1	1	1	0	0	0
PIK3R1	4	0	1	1	1	1	1	1	0	0	0
PIP4K2A	2	0	0	0	0	0	0	0	1	1	1
PITX2	6	0	1	1	1	1	1	1	0	0	0
PKP2	2	1	1	1	0	0	0	0	0	0	0
PLCB4	2	0	1	0	0	0	0	0	1	1	0
PLCD1	2	0	1	0	0	0	0	0	1	1	0
PLCG1	30	0	0	0	0	0	0	0	1	1	1
PLCG2	16	0	1	1	1	1	1	0	0	0	0
PLG	2	1	0	0	0	0	0	0	0	0	0
PLS3	2	0	1	1	0	1	1	0	0	1	0
PLXNA1	2	0	1	1	1	0	0	0	0	0	0
PMP22	2	0	0	0	0	0	0	0	1	1	1
PPARG	2	0	1	1	0	0	0	0	0	1	0
PPM1D	10	0	1	1	1	0	0	0	0	0	0
PPP2R1A	2	1	1	1	1	0	0	0	0	0	0
PPP3CA	2	0	1	0	0	0	0	0	1	1	0
PPP6C	2	0	0	0	0	0	0	0	1	1	1
PRDM8	2	0	0	0	0	0	0	0	1	1	1
PREX2	6	0	0	0	0	0	0	0	1	1	1
PRKAG1	2	0	0	0	0	0	0	0	1	1	1
PRKAG3	4	0	0	0	0	0	0	0	1	1	1
PRKD1	2	1	1	0	0	0	0	0	0	0	0
PRKG1	2	1	0	0	0	1	1	1	0	0	0
PRKN	4	0	0	0	0	0	0	0	1	1	1
PRPH2	6	0	1	1	0	0	0	0	0	1	0
PRPS1	4	0	1	1	1	1	1	1	0	0	0
PRSS1	6	3	0	0	0	1	1	1	0	0	0
PSTPIP1	2	1	1	1	1	0	0	0	0	0	0
PTEN	8	2	1	1	1	1	1	1	0	0	0
PTH1R	2	1	1	1	1	1	1	1	0	0	0
PTPN11	64	21	1	1	0	1	1	1	0	0	0
PTPN22	6	0	0	0	0	0	0	0	1	1	1
PYGM	2	1	0	0	0	0	0	0	0	0	0
RAB40B	2	0	0	0	0	0	0	0	1	1	1
RAC1	2	0	1	0	0	0	0	0	1	1	0
RAC2	8	1	0	0	0	1	1	0	0	0	0
RAC3	2	0	1	0	0	1	1	0	0	1	0
RAF1	10	4	1	1	0	1	1	1	0	0	0
RALA	2	0	1	0	0	0	0	0	1	1	0
RAP1B	2	0	1	0	0	0	0	0	1	1	0
RARB	4	1	1	1	1	0	0	0	0	0	0
RDH12	2	0	1	1	1	1	1	1	0	0	0
RELN	6	1	1	1	1	0	0	0	0	0	0
RET	36	16	1	1	1	1	1	1	0	0	0
RHBDF2	2	0	1	1	1	1	1	1	0	0	0
RHOA	4	0	0	0	0	0	0	0	1	1	1
RIGI	8	0	1	0	0	0	0	0	1	1	0
RIT1	14	4	1	1	0	1	1	1	0	0	0
RNF213	2	1	1	1	0	0	0	0	0	0	0
RP11-396C23.4	3	0	0	0	0	0	0	0	1	1	1
RPA1	4	0	0	0	0	0	0	0	1	1	1
RPE65	2	1	1	1	1	0	0	0	0	0	0
RPH3A	4	0	1	1	0	0	0	0	0	1	0
RRAGC	2	0	1	1	1	0	0	0	0	0	0
RRAS2	2	1	1	1	1	0	0	0	0	0	0
RRM2B	2	1	1	1	1	0	0	0	0	0	0
RSPO1	4	0	0	0	0	0	0	0	1	1	1
RUNX2	4	0	1	1	1	1	1	0	0	0	0
RYR1	10	5	1	1	1	0	0	0	0	0	0
RYR2	34	2	1	1	0	1	1	0	0	0	0
SAMD9	12	2	1	1	1	1	1	0	0	0	0
SAMD9L	2	1	1	0	0	0	0	0	0	0	0
SCN10A	10	1	1	0	0	1	1	0	0	0	0
SCN11A	26	3	1	1	1	1	1	0	0	0	0
SCN1A	28	2	1	1	1	0	0	0	0	0	0
SCN1B	6	2	1	1	1	1	1	1	0	0	0
SCN2A	34	8	1	1	0	1	1	1	0	0	0
SCN2B	4	1	1	0	0	1	1	1	0	0	0
SCN3A	4	1	1	0	0	0	0	0	0	0	0
SCN3B	3	0	1	0	0	1	1	1	0	0	0
SCN4A	10	1	1	1	1	1	1	1	0	0	0
SCN5A	72	18	1	1	0	1	1	1	0	0	0
SCN8A	34	4	1	1	1	1	1	1	0	0	0
SCN9A	78	8	1	1	1	1	1	1	0	0	0
SCNN1B	4	1	0	0	0	1	1	1	0	0	0
SCNN1G	4	1	0	0	0	1	1	1	0	0	0
SEMA7A	2	0	0	0	0	0	0	0	1	1	1
SETD2	2	1	1	1	1	0	0	0	0	0	0
SETX	4	1	0	0	0	1	1	1	0	0	0
SFTPC	4	1	0	0	0	0	0	0	0	0	0
SH3BP2	2	0	1	1	1	0	0	0	0	0	0
SHANK3	2	0	1	1	1	1	1	0	0	0	0
SHOC2	2	1	1	1	1	0	0	0	0	0	0
SIRT5	1	0	0	0	0	0	0	0	1	1	1
SKAP2	2	0	0	0	0	0	0	0	1	1	1
